"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"DEoptim","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.2-6",NA,NA,NA,NA
"DEoptimR","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0-10",NA,NA,NA,NA
"desc","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4.0",NA,NA,NA,NA
"diffobj","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.5",NA,NA,NA,NA
"digest","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.6.29",NA,NA,NA,NA
"dismo","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.3-5",NA,NA,NA,NA
"doParallel","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.17",NA,NA,NA,NA
"dplyr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.8",NA,NA,NA,NA
"dqrng","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.0",NA,NA,NA,NA
"e1071","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.7-9",NA,NA,NA,NA
"effsize","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.8.1",NA,NA,NA,NA
"ellipsis","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.2",NA,NA,NA,NA
"EnvStats","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.5.0",NA,NA,NA,NA
"evaluate","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.15",NA,NA,NA,NA
"evd","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.3-3",NA,NA,NA,NA
"exactextractr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.7.2",NA,NA,NA,NA
"fansi","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.2",NA,NA,NA,NA
"farver","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.1.0",NA,NA,NA,NA
"fastdigest","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.6-3",NA,NA,NA,NA
"fastDummies","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.6.3",NA,NA,NA,NA
"fasterize","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.3",NA,NA,NA,NA
"fastmap","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1.0",NA,NA,NA,NA
"fastmatch","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1-3",NA,NA,NA,NA
"fastshp","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1-2","fastshp","s-u","HEAD","3e0eb833f6292013423d93c71f7c26f6dc2d70f1"
"fireSenseUtils","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.0.5.9022","fireSenseUtils","PredictiveEcology","development","128ec4287ee77c32c07d814e106877c52389fa71"
"fontawesome","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.2",NA,NA,NA,NA
"foreach","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.5.2",NA,NA,NA,NA
"fpCompare","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.3",NA,NA,NA,NA
"fs","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.5.2",NA,NA,NA,NA
"future","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.24.0",NA,NA,NA,NA
"future.apply","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.8.1",NA,NA,NA,NA
"gamlss","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","5.4-1",NA,NA,NA,NA
"gamlss.data","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","6.0-2",NA,NA,NA,NA
"gamlss.dist","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","6.0-1",NA,NA,NA,NA
"gargle","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.0",NA,NA,NA,NA
"gbm","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.1.8",NA,NA,NA,NA
"gdalUtilities","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.0",NA,NA,NA,NA
"gdalUtils","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.3.2",NA,NA,NA,NA
"generics","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.2",NA,NA,NA,NA
"geometry","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4.5",NA,NA,NA,NA
"ggfun","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.0.5",NA,NA,NA,NA
"ggimage","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.0",NA,NA,NA,NA
"ggplot2","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","3.3.5",NA,NA,NA,NA
"ggplotify","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.0",NA,NA,NA,NA
"ggpubr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4.0",NA,NA,NA,NA
"ggrepel","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.9.1",NA,NA,NA,NA
"ggsci","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.9",NA,NA,NA,NA
"ggsignif","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.6.3",NA,NA,NA,NA
"ggspatial","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1.5",NA,NA,NA,NA
"glmm","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4.2",NA,NA,NA,NA
"globals","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.14.0",NA,NA,NA,NA
"glue","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.6.2",NA,NA,NA,NA
"goftest","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2-3",NA,NA,NA,NA
"googledrive","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.0",NA,NA,NA,NA
"gower","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.0",NA,NA,NA,NA
"gridBase","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4-7",NA,NA,NA,NA
"gridExtra","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.3",NA,NA,NA,NA
"gridGraphics","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.5-1",NA,NA,NA,NA
"gtable","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.0",NA,NA,NA,NA
"hardhat","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.0",NA,NA,NA,NA
"hexbin","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.28.2",NA,NA,NA,NA
"hexSticker","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4.9",NA,NA,NA,NA
"highr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.9",NA,NA,NA,NA
"hms","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1.1",NA,NA,NA,NA
"htmltools","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.5.2",NA,NA,NA,NA
"httpuv","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.6.5",NA,NA,NA,NA
"httr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4.2",NA,NA,NA,NA
"igraph","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.11",NA,NA,NA,NA
"ipred","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.9-12",NA,NA,NA,NA
"isoband","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.5",NA,NA,NA,NA
"iterators","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.14",NA,NA,NA,NA
"itertools","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1-3",NA,NA,NA,NA
"jpeg","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1-9",NA,NA,NA,NA
"jquerylib","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.4",NA,NA,NA,NA
"jsonlite","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.8.0",NA,NA,NA,NA
"knitr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.37",NA,NA,NA,NA
"kSamples","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2-9",NA,NA,NA,NA
"labeling","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4.2",NA,NA,NA,NA
"LandR","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.7.9012","LandR","PredictiveEcology","development","2eb670196aa80ffdb5641ed96abcf450f8f7337e"
"LandR.CS","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.0.3.9000","LandR.CS","ianmseddy","development","b0bd2f3ef830fe06d57d5d8a420d3ff6efc0125b"
"later","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.3.0",NA,NA,NA,NA
"latticeExtra","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.6-29",NA,NA,NA,NA
"lava","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.6.10",NA,NA,NA,NA
"lazyeval","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.2",NA,NA,NA,NA
"lifecycle","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.1",NA,NA,NA,NA
"linprog","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.9-2",NA,NA,NA,NA
"lintr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.1.9000","lintr","jimhester","HEAD","d52a650d733e3a733432530c6cdef8db7533edd7"
"listenv","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.8.0",NA,NA,NA,NA
"lme4","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1-28",NA,NA,NA,NA
"lobstr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1.1",NA,NA,NA,NA
"logging","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.10-108",NA,NA,NA,NA
"lpSolve","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","5.6.15",NA,NA,NA,NA
"lubridate","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.8.0",NA,NA,NA,NA
"lwgeom","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2-8",NA,NA,NA,NA
"magic","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.6-0",NA,NA,NA,NA
"magick","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.7.3",NA,NA,NA,NA
"magrittr","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.2",NA,NA,NA,NA
"map","/home/achubaty/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.0.3.9001","map","PredictiveEcology","development","a7bf56142ae4301d76e885243212e387c6fef1f1"
