"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"DEoptimR","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0-10",NA,NA,NA,NA
"desc","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4.0",NA,NA,NA,NA
"devtools","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.4.3",NA,NA,NA,NA
"diffobj","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.5",NA,NA,NA,NA
"digest","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.6.29",NA,NA,NA,NA
"dismo","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.3-5",NA,NA,NA,NA
"doParallel","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.17",NA,NA,NA,NA
"dplyr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.8",NA,NA,NA,NA
"e1071","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.7-9",NA,NA,NA,NA
"effsize","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.8.1",NA,NA,NA,NA
"ellipsis","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.2",NA,NA,NA,NA
"EnvStats","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.5.0",NA,NA,NA,NA
"evaluate","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.14",NA,NA,NA,NA
"evd","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.3-3",NA,NA,NA,NA
"exactextractr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.7.2",NA,NA,NA,NA
"fansi","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.2",NA,NA,NA,NA
"farver","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.1.0",NA,NA,NA,NA
"fastdigest","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.6-3",NA,NA,NA,NA
"fastDummies","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.6.3",NA,NA,NA,NA
"fasterize","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.3",NA,NA,NA,NA
"fastmap","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1.0",NA,NA,NA,NA
"fastmatch","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1-3",NA,NA,NA,NA
"fastshp","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1-2","fastshp","s-u","HEAD","3e0eb833f6292013423d93c71f7c26f6dc2d70f1"
"fireSenseUtils","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.0.5.9012","fireSenseUtils","PredictiveEcology","development","273eebc7c56396bcbf6021d1dbb9b5c164b646a6"
"fontawesome","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.2",NA,NA,NA,NA
"foreach","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.5.2",NA,NA,NA,NA
"fpCompare","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.3",NA,NA,NA,NA
"fs","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.5.2",NA,NA,NA,NA
"future","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.23.0",NA,NA,NA,NA
"future.apply","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.8.1",NA,NA,NA,NA
"gamlss","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","5.4-1",NA,NA,NA,NA
"gamlss.data","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","6.0-2",NA,NA,NA,NA
"gamlss.dist","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","6.0-1",NA,NA,NA,NA
"gargle","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.0",NA,NA,NA,NA
"gbm","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.1.8",NA,NA,NA,NA
"gdalUtilities","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.0",NA,NA,NA,NA
"gdalUtils","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.3.2",NA,NA,NA,NA
"generics","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.2",NA,NA,NA,NA
"geometry","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4.5",NA,NA,NA,NA
"gert","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.5.0",NA,NA,NA,NA
"ggfun","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.0.5",NA,NA,NA,NA
"ggimage","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.0",NA,NA,NA,NA
"ggplot2","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","3.3.5",NA,NA,NA,NA
"ggplotify","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.0",NA,NA,NA,NA
"ggpubr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4.0",NA,NA,NA,NA
"ggrepel","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.9.1",NA,NA,NA,NA
"ggsci","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.9",NA,NA,NA,NA
"ggsignif","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.6.3",NA,NA,NA,NA
"ggspatial","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1.5",NA,NA,NA,NA
"gh","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.3.0",NA,NA,NA,NA
"gitcreds","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.1",NA,NA,NA,NA
"glmm","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4.2",NA,NA,NA,NA
"globals","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.14.0",NA,NA,NA,NA
"glue","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.6.1",NA,NA,NA,NA
"goftest","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2-3",NA,NA,NA,NA
"googledrive","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.0.0",NA,NA,NA,NA
"gridBase","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4-7",NA,NA,NA,NA
"gridExtra","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","2.3",NA,NA,NA,NA
"gridGraphics","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.5-1",NA,NA,NA,NA
"gtable","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.0",NA,NA,NA,NA
"gtools","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","3.9.2",NA,NA,NA,NA
"hexbin","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.28.2",NA,NA,NA,NA
"hexSticker","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4.9",NA,NA,NA,NA
"highr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.9",NA,NA,NA,NA
"hms","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.1.1",NA,NA,NA,NA
"htmltools","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.5.2",NA,NA,NA,NA
"httpuv","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.6.5",NA,NA,NA,NA
"httr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.4.2",NA,NA,NA,NA
"igraph","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2.11",NA,NA,NA,NA
"ini","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.3.1",NA,NA,NA,NA
"isoband","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.2.5",NA,NA,NA,NA
"iterators","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.14",NA,NA,NA,NA
"itertools","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1-3",NA,NA,NA,NA
"jpeg","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1-9",NA,NA,NA,NA
"jquerylib","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.1.4",NA,NA,NA,NA
"jsonlite","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.7.3",NA,NA,NA,NA
"knitr","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.37",NA,NA,NA,NA
"kSamples","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.2-9",NA,NA,NA,NA
"labeling","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.4.2",NA,NA,NA,NA
"LandR","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.0.7","LandR","PredictiveEcology","development","0d3518eb03e2dadc3cd3e3d39322568df7eafbdc"
"LandR.CS","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","0.0.3.9000","LandR.CS","ianmseddy","development","b0bd2f3ef830fe06d57d5d8a420d3ff6efc0125b"
"later","/home/tmichele/GitHub/WBI_forecasts/packages/x86_64-pc-linux-gnu/4.1","1.3.0",NA,NA,NA,NA
